subset	parameter	orig	lower	upper	median	test_num	smaller_num	Pjack	BonfP
A01_NaiB	Activity	0.0434865369307296	0.0413108977687005	0.0471909366013231	0.0607129746400153	128	128	1	1
A02_SwiMB	Activity	0.04333120346572	0.0408838199267872	0.0458974426051614	0.0607129746400153	135	135	1	1
A03_UnswMB	Activity	0.0300642976415643	0.0290530845693822	0.0321772238356924	0.0607129746400153	128	128	1	1
A04_DNB	Activity	0.0231622077442266	0.0224932421550791	0.0247669591052363	0.0607129746400153	134	134	1	1
A05_PB	Activity	0.0969118226646683	0.0933803687018957	0.102397636208941	0.0607129746400153	130	0	0	0
B01_Th1	Activity	0.121971612690504	0.115662550449664	0.129968526461002	0.0607129746400153	130	0	0	0
B02_Th2	Activity	0.0390387232526994	0.0348997118987316	0.0439740136588593	0.0607129746400153	129	129	1	1
B03_TH17	Activity	0.0445550439601438	0.0408736748528063	0.0481989828987766	0.0607129746400153	135	135	1	1
B04_Tfh	Activity	0.059854291889469	0.0562055966544013	0.0640664263688721	0.0607129746400153	134	107	0.798507462686567	1
B05_NCD4	Activity	0.0441643000331384	0.0405876398314878	0.0480492046141366	0.0607129746400153	135	135	1	1
B06_MCD4	Activity	0.0670675632256315	0.0650610700521327	0.0718091852712212	0.0607129746400153	135	0	0	0
B07_aTreg	Activity	0.0457588853885095	0.0428897756054503	0.049568166039478	0.0607129746400153	126	126	1	1
B09_Fra1	Activity	0.0409166004704511	0.0383699815486893	0.0428032107840065	0.0607129746400153	114	114	1	1
B10_Fra3	Activity	0.045700956365515	0.0439436111411889	0.0475970358978194	0.0607129746400153	120	120	1	1
C01_NCD8	Activity	0.0578801679919803	0.0546020966807311	0.0625956597972448	0.0607129746400153	135	124	0.918518518518519	1
C03_EffectorCD8	Activity	0.0962682106366673	0.0917805606987111	0.101193558149254	0.0607129746400153	135	0	0	0
C04_CmCD8	Activity	0.0406332585207489	0.0365610993994387	0.0476919619706918	0.0607129746400153	117	117	1	1
C05_EmCD8	Activity	0.10809194431165	0.103307215072073	0.114362488110985	0.0607129746400153	134	0	0	0
D01_mDC	Activity	0.0694359584244176	0.0652927896375934	0.0738286697376103	0.0607129746400153	125	0	0	0
D02_pDC	Activity	0.0607129746400153	0.0565507400488835	0.0646541333896573	0.0607129746400153	125	64	0.512	1
E01_CD16pMo	Activity	0.157911785336877	0.154666647189446	0.162269303132024	0.0607129746400153	134	0	0	0
E02_CD16nMo	Activity	0.16758391689179	0.164196810750305	0.172060876185717	0.0607129746400153	133	0	0	0
E03_NonClassical	Activity	0.0923955436277098	0.0877831964281709	0.0990748660026748	0.0607129746400153	123	0	0	0
E04_Intermediate	Activity	0.0936907101803543	0.0897005002730974	0.0983885015579591	0.0607129746400153	123	0	0	0
F01_Neu	Activity	0.150773832672496	0.146892474445169	0.157848889033062	0.0607129746400153	120	0	0	0
F02_LDG	Activity	0.107873233126269	0.10307718361318	0.116418586155785	0.0607129746400153	104	0	0	0
G01_NK	Activity	0.090426005628794	0.0855177012316296	0.0955182139779366	0.0607129746400153	131	0	0	0
