Gene	B05_NCD4_HC	B05_NCD4_SLE	B06_MCD4_HC	B06_MCD4_SLE	B01_Th1_HC	B01_Th1_SLE	B02_Th2_HC	B02_Th2_SLE	B03_TH17_HC	B03_TH17_SLE	B04_Tfh_HC	B04_Tfh_SLE	B09_Fra1_HC	B09_Fra1_SLE	B07_aTreg_HC	B07_aTreg_SLE	B10_Fra3_HC	B10_Fra3_SLE	A01_NaiB_HC	A01_NaiB_SLE	A03_UnswMB_HC	A03_UnswMB_SLE	A02_SwiMB_HC	A02_SwiMB_SLE	A04_DNB_HC	A04_DNB_SLE	C01_NCD8_HC	C01_NCD8_SLE	C04_CmCD8_HC	C04_CmCD8_SLE	C05_EmCD8_HC	C05_EmCD8_SLE	C03_EffectorCD8_HC	C03_EffectorCD8_SLE	G01_NK_HC	G01_NK_SLE	E02_CD16nMo_HC	E02_CD16nMo_SLE	E01_CD16pMo_HC	E01_CD16pMo_SLE	E04_Intermediate_HC	E04_Intermediate_SLE	E03_NonClassical_HC	E03_NonClassical_SLE	D01_mDC_HC	D01_mDC_SLE	D02_pDC_HC	D02_pDC_SLE	A05_PB_HC	A05_PB_SLE	F01_Neu_HC	F01_Neu_SLE	F02_LDG_HC	F02_LDG_SLE
SAMD9	-0.353201764686589	0.448829425696212	-0.398833779355815	0.727016102866739	-0.439191623411652	0.582249430574865	-0.630677657093048	0.638767608031276	-0.55521873123545	0.608736017968138	-0.39893556192188	0.722504809382878	-0.222747622887313	0.653651145289243	0.738606201312182	1.75089169393621	0.21907300342393	1.05698484553161	0.216283980192347	1.00894735032524	-0.718749018281723	0.0695576377739641	-0.641137807031902	0.372340715150139	-0.121939826982018	0.791878039432432	-0.498034235310789	0.342557973997667	-0.696851331313514	0.139882617759854	-0.334558135893275	0.744168412758196	-0.300144111496204	0.74819888296651	0.389091138632409	1.23247300704304	-1.99187035887224	-0.00925539205896463	-0.962263445390515	0.811700041134873	-1.00460081147697	0.786016108641165	-0.967419689278515	0.804149787169448	-1.69332142151181	-0.18026415715416	-3.19522577750284	-1.75206779125808	-0.933742665745834	-0.944985929141231	-1.11608478335488	1.03662853323983	0.586232945123316	2.83390597429348
PARP9	-0.77836722216943	0.311028107575358	-0.452687445498561	0.609057900779986	-0.381021497589314	0.614596115018763	-0.522431315164221	0.606106243215099	-0.533349125677459	0.620173061773622	-0.529195799510792	0.541529082421477	-1.05661498301162	0.244989198790831	-0.429587775504721	0.600082310216175	-0.476427788809083	0.594741193945532	-0.872100948996006	0.36523666488793	-0.473019873109439	0.349586329008557	-0.832643117840815	0.280554679970929	-0.907014797852876	0.253403453032903	-0.920654740288236	0.184896037178819	-0.646133295211224	0.328678559858933	-0.558816704895923	0.558405140150732	-0.650142776643888	0.56404330511277	-0.494376374020647	0.592368500018122	-0.0115928337339243	1.19445428736531	0.222019573123438	1.22784059030423	0.281567938193731	1.2464157855795	0.179247399584511	1.19424054395573	-0.366290428936063	0.815658804772434	-2.7911012299257	-1.10496379569951	-3.37023542456628	-1.64968796505114	1.01061641975971	2.02801563101997	1.06364357991302	2.12526082317873
PARP12	-0.562543259229152	0.21234686628885	-0.099031214357016	0.708210279300473	-0.194401464185171	0.513393295420385	0.344155526993527	1.00914594363088	-0.0675872737251582	0.822301561985369	-0.222573738144875	0.651051422277151	-0.237766318580282	0.481021575607923	1.25943147508515	1.71215250225072	0.951413314086562	1.34541786770716	0.407108028399078	0.917672290645506	0.431087920741058	0.664210510844902	0.627011640023959	1.13519895061767	0.217461949037415	0.57268250892915	-0.695108891452407	0.0217562868635838	-0.463423122257408	0.174712887106813	-0.400031819820238	0.29907756448065	-0.420317142755499	0.22135537049907	-0.529885236187608	0.142904566224502	-1.02112540894153	0.213603325832851	0.115352457459971	0.789581421494014	-0.104438735780441	0.656046931119438	0.133778417212823	0.851864114815049	-1.45287556186697	-0.428454566090661	-2.39932112797859	-1.01364577826388	-3.27089396183664	-2.50727112733584	-1.97108302935232	0.601138905352809	-1.78428406341947	0.642415163226722
IFI44L	-0.861003203831653	0.845976996410859	-0.491721491777258	0.939692890592238	-0.405012344111255	0.801395376151094	-0.784350401613798	0.908748745774645	-0.373890604564239	1.15052875260758	-0.386453579191305	1.07964080781487	-1.1491068842594	0.84709289263035	-1.55629923601338	0.424960047410991	-0.984958624059281	0.942523418485465	-0.584179903390718	1.14539809215949	-0.52233036076752	0.993186957830734	-1.04153542995394	0.873809861122984	-1.31165425688824	0.702001563201914	-0.99857397343433	0.723518993954016	-0.748453664617554	0.727307837951107	-1.01139171959961	0.579201283375336	-1.63500368712982	0.43286825125772	-1.29429906087027	0.740905194833893	-0.175903232283125	1.27108977270166	-0.396397269304352	0.978559328785184	-0.161754771968585	1.12064504265495	-0.558283990740177	0.855541777091677	-0.881779001763997	0.960059658457356	-0.226482054497931	1.3261914106645	-2.897822128504	-0.9198040383296	-0.9125986658856	1.28960307045085	-0.777346110268448	1.38794166524793
EIF2AK2	-1.22900340686559	0.607791203978065	-0.679303771182542	0.954262262984164	-0.652063073728765	0.779600079555768	-0.864416110063434	1.01782929286598	-0.575670039130632	1.08187946189742	-0.917748045941926	0.921226706584098	-1.32677651443292	0.703463929269261	-0.614841283723971	0.841115847620993	-0.590513591527014	1.12168482176787	-0.734597811553682	0.942332455582903	-0.687281873095927	0.798204961471409	-0.56098829459639	0.980242188041489	-0.897689223021234	0.737693147961644	-0.992994243435567	0.585435135991936	-0.799375168340629	0.653128051890335	-0.540113683728268	0.849124442487376	-0.88146796296651	0.751474215036706	-0.899942478776848	0.683580424146073	-0.960286567263523	0.882959306204651	-1.4406051967418	0.321917961784161	-1.31110263370611	0.424026335384001	-1.58397348373453	0.190546119660597	-0.966728951381191	0.865734709984736	-1.21617827101863	0.728044907545167	-1.47924787576965	0.0979815832774183	-0.36419707463957	2.30006011739435	0.126520911471888	2.81924604852642
XAF1	-0.530626115210962	0.73733440933907	-0.405716795848249	0.748423809919346	-0.344494620325463	0.652312220528167	-0.410094172472868	0.783563373965715	-0.511672501005538	0.756425021931407	-0.444982163380394	0.757533480799005	-0.826709334272217	0.67372698439164	-0.230805333056772	0.791759031838262	-0.337213828962061	0.842286811005293	-0.297405424019022	0.968572048868531	-0.467081000580288	0.656437717647837	-0.599841394157883	0.687330234967102	-0.809686372158774	0.43282974077648	-0.820958339985602	0.522936857892527	-0.579727971045421	0.493637385104094	-0.481419068525788	0.665275652435694	-0.502930859040337	0.708176489729658	-0.0990207910418219	0.972318076424681	-0.0843463210255782	1.03655584629959	-0.0738533886002945	0.918276557700586	0.0426215638534612	0.999393630329866	-0.160744887328201	0.855741864227024	-0.223053919227501	0.916072537150536	-1.95517032756148	0.189626508180273	-4.53548267193371	-2.08303076124844	-1.38482526962296	0.894986407856451	-0.853178639910873	1.34991800838619
LGALS3BP	0.747163888897714	1.21651470800103	0.466521490075862	1.0475941858428	0.635499223088758	1.15883119517124	0.511753855043249	1.23242346204258	0.21187535781614	1.00731498276748	0.513369824586945	1.11674450052644	0.292583987629556	1.0378281476433	-0.148262549475235	0.796889755531153	0.0205765575221907	0.924785338976742	-1.3194799249243	0.210596332730971	-0.94273147995116	-0.0724356660967074	-1.67638052992867	-0.739192160569569	-1.89804580978479	-0.629863203978965	0.638234228738555	1.09021770222078	0.304000043872491	1.08464826005118	-0.365974345560587	0.400109025688823	-1.24662068102762	-0.112744777086921	-1.76598153208217	-0.504669352177607	-0.0369069611941287	1.14165933677163	-0.238672663591511	1.04869809797887	0.0933454390523275	1.28763551939473	-0.439734178744799	0.869867803831577	-0.498270949515887	0.749204124226112	-2.24001609417338	-0.768001895727093	-2.12242228505605	-0.969858582960066	-1.8199390829867	0.0972177445465468	-1.56494191695769	0.167442503283809
HERC6	-0.116961962121925	0.99698518045038	0.307913896179464	1.17134081481866	0.196957637927025	1.01936817209938	0.195503754683256	1.22727793520887	0.583388476583751	1.44337434072854	0.398106768363592	1.34517577246254	0.264521044405721	1.25195935731389	0.550301439036558	1.38780168236598	0.51094642548286	1.41341355564128	-0.841348317814388	0.38367673806015	-0.65626742555841	0.312468945944434	-0.678220571288955	0.456054749922532	-0.827703972641077	0.387462372457754	-0.0752867291516246	1.00273513140311	0.0591302362725447	0.902111412309215	0.144157901522133	0.770296951940532	-0.189852436423005	0.748845289958017	-0.386993307769415	0.571653286567469	-1.17322439527309	-0.222386738984127	-0.890218144631006	0.0715276813665861	-0.919941773744478	0.0577744488796294	-0.888611962192122	0.063938880096513	-1.49461546322462	-0.422631230403108	-3.39772643616067	-1.86291563987815	-1.99631541878545	-0.850792222108737	-1.52561418809384	0.368837860765445	-1.53771578285913	0.390335977889491
DDX60	0.0329774356344541	0.881650428153724	0.0832530263254568	0.875113339721429	0.0966658000509784	0.80423834621791	-0.0404302653422539	0.838234877935651	-0.0185763853463962	0.839636392266762	0.00587601453032713	0.845875756232102	-0.248311623257952	0.796086473648836	-0.182681762683717	0.74042179909285	-0.0657855056179771	0.875211432287235	-0.250985414439313	0.466719137446884	-0.317031072858119	0.282410258572707	-0.463951648569175	0.32195542934648	-0.568056074315944	0.162300229096273	0.111846408667602	0.909550516056161	0.00935072232783848	0.781552426998253	0.177223758490289	0.846304433253395	0.154990544522403	0.818874936241025	0.130006015627453	0.626183909756121	-0.61745994819764	0.322058612740821	-0.24749968510276	0.40229882805257	-0.286353313685744	0.40018479656939	-0.25293771262055	0.386784422086192	-1.00982255226821	0.171522081079916	-2.15474048408727	-0.571765533427549	-4.26423290067541	-3.63211042052692	-1.06270126570341	0.857983487583043	-0.834056463541779	1.03414795565557
TMEM140	-0.450714003595951	-0.162594878543926	-0.238747276735407	0.0905396023451253	-0.22526084035043	0.0589222826544944	-0.233870995226366	0.106655674340974	-0.456184367086654	-0.0752731704538174	-0.331267144739032	0.0269310879454964	-0.545836932712	-0.104759887221458	-0.0371914936205422	0.442893334319459	-0.184022866711155	0.147929948128482	-0.178470985167947	0.305973245474774	-0.344217009149383	0.102363440363696	-0.327346738288751	0.115121102316953	-0.276853305052287	0.154060139219327	0.0500119040145988	0.245542522303842	-0.138921258184257	0.0383001586443404	-0.141488973197458	0.157445882654197	-0.0278848328178826	0.198963912563605	0.171976157440322	0.277384284936357	-0.535603484722496	-0.135952493842058	-0.62573228614883	-0.110375791015088	-0.704537953018633	-0.177402309674854	-0.587755356220606	-0.0452806411844192	-1.57398506687883	-1.28640236424089	-2.04706076417704	-2.08615206186799	-0.229648581127331	-0.0259945290600633	2.67971220507299	3.55949355342382	2.40813975590846	3.31443044796254
